track_id,track_name,plays,artist_id
0zJ73feFCS8807usUclLWo,Rebanav 126bpm,10221611,0mnNM5o7vtxo3ivC7Tmoah
1058sUMtpp1VzClrgcox6W,Breathless - Punk Rock Version,721907,5FZNS1bCNu6hMt1wHaze6Y
10Ad7f9fnUaUjZ1bdZWBKr,billete,17482949,12GqGscKJx3aE4t07u7eVZ
10mXIlKiPPCO31c5dpGrKK,Pal Pal Jeena,750298,2hFQefSVL7x4IYTCyv37Y2
11ZsxSle3jD66Yf6AZreuD,"No Soy de Aquí, Ni Soy de Allá",1186992,0ElbMDEefrgdxl0geuDPHn
11vvgCRgrT45jSlfJ0fgkD,Where The Rain Used To Fall (Rain),854948,3X8jbykM6jKWuKKSzQ6kCb
12X6Xp0LYHgEFOnofZcGCn,Loquito (with Celine G),1501862,7F2utINZ6tSokSiZTQBE27
12bYYQaLqHliSXvRIYlq8G,I Just Might,37791192,0du5cEVh5yTK9QJze8zA0C
136BeIIoBGrrU9fI1jbcDR,daño,43243107,12GqGscKJx3aE4t07u7eVZ
13CwOTXUgBugeBByE9oIWb,kota ini tak sama tanpamu,52747460,6UgERnTHmjk3qXM9x5vzyO
13XTDTngvvkb3b2FpBOQXU,Tu Nombre en la Oscuridad,3729319,0tuO2DDZTKEQ6t6RT47WKH
14BX1vNexs7Wol6s4j5htB,WHATS LOVE,900532,5A7T1LAGJg5NXySBoIKUmF
14Gt0PQM7nxO5Etc2wwcpU,PILIER,2808573,6Te49r3A6f5BiIgBRxH7FH
15VU8IieHIxxzvI02WwzKF,Anyone I've Ever Hurt,717560,5Cw0RywOrfPAzlLEsrBC73
15iZsMKkQIcf1RYDeckY2C,Meski Perih,769304,2zrMuruIsDXrQIQHuLU0sj
161WiFPkIQNMcJKhGJvKey,DON'T BLINK,892276,4O62WgS3WJuYevl1P5MmTg
161dJFOgyuYcgKg0AzYuAh,Ela ké Leitada,1836143,71NQK8ufY5t7SeiMAhPB9I
16MqWeS5rlcf0GiE70Ojfk,RÉSINE,1522527,6Te49r3A6f5BiIgBRxH7FH
17UfxximZLhlPil49FJ3w6,WHERE HAVE YOU BEEN (Hoodtrap / Mylancore) - SLOWED AND REVERBED,954662,1JCkyoTjnXO1tOVkcabgci
17r18GzFNJzLZxn0d3k0ns,"Masth Malaika (From ""Mark"") (Kannada)",1410634,3PjvC3vaZ6wh5FK6PZ4Dd5
18KyJgSmfIPEsimWshBojB,Deusa,3755025,1YOVBTvznjiDvtAj4ExHeo
18vq9NOWGl3mGRuZloz7MM,Un beso,909486,0znHeiocrsC2Bj33L7FBzM
19aIw4f5D2bMsufW7lYFYO,Cry for Me WA WA WA - Live Version,10318434,3rkwWB8rbBCNTrSvVUBa6C
1AV5J8VYp4UDkiwY0aqxoc,KING VON,3805461,6Te49r3A6f5BiIgBRxH7FH
1AXsHbdIYx2OyKmdOcIL5T,PUNK ROCKY,14994545,13ubrt8QOOCPljQ2FL1Kca
1AhcGLniCMk7dfHugUi6UD,Loosen Up - BENJAMIN BLUES Remix,997731,5PlfkPxwCpRRWQJBxCa0By
1BJKw4ljOeeDT7IvRJPSl5,Heaven Knows - Rock Version,5844422,1wyY1DhksbNimjRRgm84d8
1BKs3X4E6Oc0iM3BxnzyXQ,Menina,3573307,6xlRSRMLgZbsSNd0BMobwy
1BxxNWBw4Sf53DJB6uTkSF,WOODS,907824,2NJWI8byqTSqDaJRnqJY2z
1CD3p5OZ3zWOYdk3FOkfLN,MONTAGEM ECLIPSE,1804881,3QMpCp3GHiHXgnX1LldXWe
1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,59453373,78rUTD7y6Cy67W1RVzYs7t
1E7zLPDdqo0OvzVmGj5aoV,Ada titik-titik di ujung doa,11158061,1NjxFrpEGZTV2Ny0OJxeWu
1GmriBF0jnVFt7fIjI4fLb,Jauh Ko Pergi,1147990,54iY3a5KXHNlG9JCulzNGC
1GxYYYlepiUdRPOCV42VWk,RÉSINE,1522527,6Te49r3A6f5BiIgBRxH7FH
